Approved symbol	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)	UniProt ID(supplied by UniProt)
ATP5IF1	93974	ENSG00000130770	Q9UII2
ATP5MC1	516	ENSG00000159199	P05496
ATP5MC1P1	319136	ENSG00000230157	
ATP5MC1P2	319137		
ATP5MC1P3	646619	ENSG00000242244	
ATP5MC1P4	100287755	ENSG00000227440	
ATP5MC1P5	390424	ENSG00000227590	
ATP5MC1P6	100505704	ENSG00000214318	
ATP5MC1P7	100130962	ENSG00000232734	
ATP5MC1P8	100288222	ENSG00000224948	
ATP5MC2	517	ENSG00000135390	Q06055
ATP5MC2P1	520	ENSG00000225712	
ATP5MC2P2	319119		
ATP5MC2P3	100507097	ENSG00000230482	
ATP5MC2P4	654480	ENSG00000228847	
ATP5MC3	518	ENSG00000154518	P48201
ATP5MD	84833	ENSG00000173915	Q96IX5
ATP5MDP1	100288307	ENSG00000231549	
ATP5ME	521	ENSG00000169020	P56385
ATP5MF	9551	ENSG00000241468	P56134
ATP5MF-PTCD1	100526740	ENSG00000248919	
ATP5MFP1	101241877	ENSG00000224421	
ATP5MFP2	387107		
ATP5MFP3	445573	ENSG00000232851	
ATP5MFP4	654485	ENSG00000256826	
ATP5MFP5	654484	ENSG00000256103	
ATP5MFP6	654486	ENSG00000261102	
ATP5MG	10632	ENSG00000167283	O75964
ATP5MGL	267020	ENSG00000249222	Q7Z4Y8
ATP5MGP1	53411		
ATP5MGP2	53410	ENSG00000232362	
ATP5MGP3	53409	ENSG00000249256	
ATP5MGP4	100130396	ENSG00000225176	
ATP5MGP5	100287091	ENSG00000242561	
ATP5MGP6	100462865	ENSG00000267376	
ATP5MGP7	100287964	ENSG00000267189	
ATP5MGP8	100462862		
ATP5MPL	9556	ENSG00000156411	P56378
ATP5PB	515	ENSG00000116459	P24539
ATP5PBP1	100422523	ENSG00000224451	
ATP5PBP2	645973	ENSG00000214342	
ATP5PBP3	644333	ENSG00000214003	
ATP5PBP4	100422514	ENSG00000214025	
ATP5PBP5	100128516	ENSG00000254944	
ATP5PBP6	645440	ENSG00000219806	
ATP5PBP7	124496	ENSG00000261424	
ATP5PD	10476	ENSG00000167863	O75947
ATP5PDP1	390581	ENSG00000261679	
ATP5PDP2	138234	ENSG00000229184	
ATP5PDP3	138864	ENSG00000213954	
ATP5PDP4	246723	ENSG00000234925	
ATP5PF	522	ENSG00000154723	P18859
ATP5PFP1	359997	ENSG00000237701	
ATP5PO	539	ENSG00000241837	P48047
ATP5POP1	100132849	ENSG00000159186	
ATP6AP1	537	ENSG00000071553	Q15904
ATP6AP1L	92270	ENSG00000205464	Q52LC2
ATP6AP2	10159	ENSG00000182220	O75787
ATP6N2			
ATP6V1A	523	ENSG00000114573	P38606
ATP6V1A2			
ATP6V1B1	525	ENSG00000116039	P15313
ATP6V1B1-AS1	101927750	ENSG00000239322	
ATP6V1B2	526	ENSG00000147416	P21281
ATP6V1C1	528	ENSG00000155097	P21283
ATP6V1C2	245973	ENSG00000143882	Q8NEY4
ATP6V1D	51382	ENSG00000100554	Q9Y5K8
ATP6V1E1	529	ENSG00000131100	P36543
ATP6V1E1P1	343515	ENSG00000225099	
ATP6V1E1P2	100462844		
ATP6V1E1P3	729435		
ATP6V1E2	90423	ENSG00000250565	Q96A05
ATP6V1F	9296	ENSG00000128524	Q16864
ATP6V1FNB	100130705	ENSG00000272899	A0A1B0GUX0
ATP6V1G1	9550	ENSG00000136888	O75348
ATP6V1G1P1	319116		
ATP6V1G1P2	100128541	ENSG00000253502	
ATP6V1G1P3	100462838	ENSG00000224662	
ATP6V1G1P4	100462843	ENSG00000233343	
ATP6V1G1P5	100462840		
ATP6V1G1P6	100462732	ENSG00000249372	
ATP6V1G1P7	100874514	ENSG00000230474	
ATP6V1G2	534	ENSG00000213760	O95670
ATP6V1G2-DDX39B	100532737	ENSG00000254870	
ATP6V1G3	127124	ENSG00000151418	Q96LB4
ATP6V1H	51606	ENSG00000047249	Q9UI12
ATP6V0A1	535	ENSG00000033627	Q93050
ATP6V0A2	23545	ENSG00000185344	Q9Y487
ATP6V0A4	50617	ENSG00000105929	Q9HBG4
ATP6V0B	533	ENSG00000117410	Q99437
ATP6V0C	527	ENSG00000185883	P27449
ATP6V0CP1	100132978	ENSG00000230201	
ATP6V0CP2	106478961	ENSG00000244142	
ATP6V0CP3	442211	ENSG00000213435	
ATP6V0CP4	112436690	ENSG00000284138	
ATP6V0D1	9114	ENSG00000159720	P61421
ATP6V0D2	245972	ENSG00000147614	Q8N8Y2
ATP6V0E1	8992	ENSG00000113732	O15342
ATP6V0E1P1	100874502	ENSG00000225364	
ATP6V0E1P2	100874503	ENSG00000223513	
ATP6V0E1P3	100133262	ENSG00000238038	
ATP6V0E1P4	100874504	ENSG00000227883	
ATP6V0E2	155066	ENSG00000171130	Q8NHE4
ATP6V0E2-AS1	401431	ENSG00000204934	
ATP7A	538	ENSG00000165240	Q04656
ATP7B	540	ENSG00000123191	P35670
ATP7BP1	100462825		
ATP8A1	10396	ENSG00000124406	Q9Y2Q0
ATP8A2	51761	ENSG00000132932	Q9NTI2
ATP8A2P1	100422505		
ATP8A2P2	100533851	ENSG00000229800	
ATP8A2P3	100874518	ENSG00000233963	
ATP8B1	5205	ENSG00000081923	O43520
ATP8B2	57198	ENSG00000143515	P98198
ATP8B3	148229	ENSG00000130270	O60423
ATP8B4	79895	ENSG00000104043	Q8TF62
ATP8B5P	158381	ENSG00000179766	
ATP9A	10079	ENSG00000054793	O75110
ATP9B	374868	ENSG00000166377	O43861
ATP10A	57194	ENSG00000206190	O60312
ATP10B	23120	ENSG00000118322	O94823
ATP10C			
ATP10D	57205	ENSG00000145246	Q9P241
ATP11A	23250	ENSG00000068650	P98196
ATP11A-AS1	100874205	ENSG00000232684	
ATP11AUN	400165	ENSG00000197595	Q6ZP68
ATP11B	23200	ENSG00000058063	Q9Y2G3
ATP11C	286410	ENSG00000101974	Q8NB49
ATP12A	479	ENSG00000075673	P54707
ATP13A1	57130	ENSG00000105726	Q9HD20
ATP13A2	23400	ENSG00000159363	Q9NQ11
ATP13A3	79572	ENSG00000133657	Q9H7F0
ATP13A4	84239	ENSG00000127249	Q4VNC1
ATP13A4-AS1	101929198	ENSG00000225473	
ATP13A5	344905	ENSG00000187527	Q4VNC0
ATP13A5-AS1	100874218	ENSG00000236508	
ATP23	91419	ENSG00000166896	Q9Y6H3
ATPAF1	64756	ENSG00000123472	Q5TC12
ATPAF2	91647	ENSG00000171953	Q8N5M1
ATPL			
ATPM			
ATPSB			
ATPSBL1			
ATPSBL2			
ATPSCKMT	134145	ENSG00000150756	Q6P4H8
ATR	545	ENSG00000175054	Q13535
ATRAID	51374	ENSG00000138085	Q6UW56
ATRC1			
ATRC2			
ATRIP	84126	ENSG00000164053	Q8WXE1
ATRN	8455	ENSG00000088812	O75882
ATRNL1	26033	ENSG00000107518	Q5VV63
ATRX	546	ENSG00000085224	P46100
ATS			
ATXN1	6310	ENSG00000124788	P54253
ATXN1-AS1	101928433	ENSG00000229931	
ATXN1L	342371	ENSG00000224470	P0C7T5
ATXN2	6311	ENSG00000204842	Q99700
ATXN2-AS	102723619	ENSG00000258099	
ATXN2L	11273	ENSG00000168488	Q8WWM7
ATXN3	4287	ENSG00000066427	P54252
ATXN3L	92552	ENSG00000123594	Q9H3M9
ATXN7	6314	ENSG00000163635	O15265
ATXN7L1	222255	ENSG00000146776	Q9ULK2
ATXN7L2	127002	ENSG00000162650	Q5T6C5
ATXN7L3	56970	ENSG00000087152	Q14CW9
ATXN7L3B	552889	ENSG00000253719	Q96GX2
ATXN7L3P1	392485		
ATXN7L4			
ATXN8	724066		Q156A1
ATXN8OS	6315	ENSG00000230223	P0DMR3
ATXN10	25814	ENSG00000130638	Q9UBB4
AUF1			
AUH	549	ENSG00000148090	Q13825
AUNA1			
AUNIP	79000	ENSG00000127423	Q9H7T9
AUNX1			
AUP1	550	ENSG00000115307	Q9Y679
AURKA	6790	ENSG00000087586	O14965
AURKAIP1	54998	ENSG00000175756	Q9NWT8
AURKAP1	6791	ENSG00000213033	
AURKAP2	386665	ENSG00000230165	
AURKB	9212	ENSG00000178999	Q96GD4
AURKBP1	644233		
AURKC	6795	ENSG00000105146	Q9UQB9
AUTS1			
AUTS2	26053	ENSG00000158321	Q8WXX7
AUXN			
AVED			
AVEN	57099	ENSG00000169857	Q9NQS1
AVIL	10677	ENSG00000135407	O75366
AVL9	23080	ENSG00000105778	Q8NBF6
AVP	551	ENSG00000101200	P01185
AVPI1	60370	ENSG00000119986	Q5T686
AVPR1A	552	ENSG00000166148	P37288
AVPR1B	553	ENSG00000198049	P47901
AVPR2	554	ENSG00000126895	P30518
AVPR3			
AVR			
AVRR			
AVSD1			
AVSD2			
AWAL			
AWAT1	158833	ENSG00000204195	Q58HT5
AWAT2	158835	ENSG00000147160	Q6E213
AXA1			
AXDND1	126859	ENSG00000162779	Q5T1B0
AXIN1	8312	ENSG00000103126	O15169
AXIN2	8313	ENSG00000168646	Q9Y2T1
AXL	558	ENSG00000167601	P30530
AXPC1			
AXT			
AZF1			
AZF2			
AZGP1	563	ENSG00000160862	P25311
AZGP1P1	646282	ENSG00000214313	
AZGP1P2	401393	ENSG00000214252	
AZI2	64343	ENSG00000163512	Q9H6S1
AZIN1	51582	ENSG00000155096	O14977
AZIN2	113451	ENSG00000142920	Q96A70
AZU1	566	ENSG00000172232	P20160
AZU1P1	106480244	ENSG00000270444	
B2M	567	ENSG00000166710	P61769
B2MR	568		
B3GALNT1	8706	ENSG00000169255	O75752
B3GALNT1P1	100128857	ENSG00000229948	
B3GALNT2	148789	ENSG00000162885	Q8NCR0
B3GALNT2P1	100130402	ENSG00000218725	
B3GALT1	8708	ENSG00000172318	Q9Y5Z6
B3GALT1-AS1	105616981	ENSG00000235335	
B3GALT2	8707	ENSG00000162630	O43825
B3GALT4	8705	ENSG00000235863	O96024
B3GALT5	10317	ENSG00000183778	Q9Y2C3
B3GALT5-AS1	114041	ENSG00000184809	P59052
B3GALT6	126792	ENSG00000176022	Q96L58
B3GAT1	27087	ENSG00000109956	Q9P2W7
B3GAT1-DT	283177		
B3GAT2	135152	ENSG00000112309	Q9NPZ5
B3GAT3	26229	ENSG00000149541	O94766
B3GAT3P1	402146	ENSG00000244009	
B3GLCT	145173	ENSG00000187676	Q6Y288
B3GNT2	10678	ENSG00000170340	Q9NY97
B3GNT2P1	100422469	ENSG00000229946	
B3GNT3	10331	ENSG00000179913	Q9Y2A9
B3GNT4	79369	ENSG00000176383	Q9C0J1
B3GNT5	84002	ENSG00000176597	Q9BYG0
B3GNT6	192134	ENSG00000198488	Q6ZMB0
B3GNT7	93010	ENSG00000156966	Q8NFL0
B3GNT8	374907	ENSG00000177191	Q7Z7M8
B3GNT9	84752	ENSG00000237172	Q6UX72
B3GNT10	100288842	ENSG00000214654	
B3GNTL1	146712	ENSG00000175711	Q67FW5
B3GNTL1P1	106481968	ENSG00000251237	
B3GNTL1P2	106480419	ENSG00000271328	
B4GALNT1	2583	ENSG00000135454	Q00973
B4GALNT2	124872	ENSG00000167080	Q8NHY0
B4GALNT2P1	106481717	ENSG00000248883	
B4GALNT3	283358	ENSG00000139044	Q6L9W6
B4GALNT4	338707	ENSG00000182272	Q76KP1
B4GALT1	2683	ENSG00000086062	P15291
B4GALT1-AS1	101929639	ENSG00000233554	
B4GALT2	8704	ENSG00000117411	O60909
B4GALT3	8703	ENSG00000158850	O60512
B4GALT4	8702	ENSG00000121578	O60513
B4GALT4-AS1	100874201	ENSG00000240254	
B4GALT5	9334	ENSG00000158470	O43286
B4GALT6	9331	ENSG00000118276	Q9UBX8
B4GALT7	11285	ENSG00000027847	Q9UBV7
B4GAT1	11041	ENSG00000174684	O43505
B9D1	27077	ENSG00000108641	Q9UPM9
B9D2	80776	ENSG00000123810	Q9BPU9
BA2R			
BAALC	79870	ENSG00000164929	Q8WXS3
BAALC-AS1	100499183	ENSG00000247081	
BAALC-AS2	157556	ENSG00000236939	P0C853
BAAT	570	ENSG00000136881	Q14032
BABAM1	29086	ENSG00000105393	Q9NWV8
BABAM2	9577	ENSG00000158019	Q9NXR7
BABAM2-AS1	100302650		
BACE1	23621	ENSG00000186318	P56817
BACE1-AS	100379571	ENSG00000278768	
BACE2	25825	ENSG00000182240	Q9Y5Z0
BACE2-IT1	282569	ENSG00000224388	
BACH1	571	ENSG00000156273	O14867
BACH1-AS1	106478962	ENSG00000232118	
BACH1-IT1		ENSG00000248476	
BACH1-IT2	100874322	ENSG00000228817	
BACH1-IT3	54147	ENSG00000234293	
BACH2	60468	ENSG00000112182	Q9BYV9
BAD	572	ENSG00000002330	Q92934
BAG1	573	ENSG00000107262	Q99933
BAG1P1	392442		
BAG2	9532	ENSG00000112208	O95816
BAG3	9531	ENSG00000151929	O95817
BAG4	9530	ENSG00000156735	O95429
BAG5	9529	ENSG00000166170	Q9UL15
BAG6	7917	ENSG00000204463	P46379
BAGE	574		Q13072
BAGE2	85319	ENSG00000187172	Q86Y30
BAGE3	85318		Q86Y29
BAGE4	85317		Q86Y28
BAGE5	85316		Q86Y27
BAHCC1	57597	ENSG00000266074	Q9P281
BAHD1	22893	ENSG00000140320	Q8TBE0
BAIAP2	10458	ENSG00000175866	Q9UQB8
BAIAP2-DT	440465	ENSG00000226137	
BAIAP2L1	55971	ENSG00000006453	Q9UHR4
BAIAP2L2	80115	ENSG00000128298	Q6UXY1
BAIAP3	8938	ENSG00000007516	O94812
BAK1	578	ENSG00000030110	Q16611
BAK1P1	600	ENSG00000175730	
BAK1P2	601	ENSG00000236616	
BAMBI	25805	ENSG00000095739	Q13145
BANCR	100885775	ENSG00000278910	
BANF1	8815	ENSG00000175334	O75531
BANF1P1	317687	ENSG00000258531	
BANF1P2	414169	ENSG00000230306	
BANF1P3	100505506	ENSG00000237758	
BANF1P4	100653423	ENSG00000223828	
BANF1P5	101290503	ENSG00000225935	
BANF2	140836	ENSG00000125888	Q9H503
BANK1	55024	ENSG00000153064	Q8NDB2
BANP	54971	ENSG00000172530	Q8N9N5
BAP1	8314	ENSG00000163930	Q92560
BARD1	580	ENSG00000138376	Q99728
BARHL1	56751	ENSG00000125492	Q9BZE3
BARHL2	343472	ENSG00000143032	Q9NY43
BARX1	56033	ENSG00000131668	Q9HBU1
BARX1-DT	101928040	ENSG00000235601	
BARX2	8538	ENSG00000043039	Q9UMQ3
BASP1	10409	ENSG00000176788	P80723
BASP1-AS1	285696	ENSG00000215196	
BASP1P1	646201	ENSG00000230535	
BATF	10538	ENSG00000156127	Q16520
BATF2	116071	ENSG00000168062	Q8N1L9
BATF3	55509	ENSG00000123685	Q9NR55
BAX	581	ENSG00000087088	Q07812
BAZ1A	11177	ENSG00000198604	Q9NRL2
BAZ1B	9031	ENSG00000009954	Q9UIG0
BAZ2A	11176	ENSG00000076108	Q9UIF9
BAZ2B	29994	ENSG00000123636	Q9UIF8
BBC3	27113	ENSG00000105327	Q96PG8, Q9BXH1
BBIP1	92482	ENSG00000214413	A8MTZ0
BBIP1P1	105373509	ENSG00000271532	
BBOF1	80127	ENSG00000119636	Q8ND07
BBOX1	8424	ENSG00000129151	O75936
BBOX1-AS1	103695435	ENSG00000254560	
BBS			
BBS1	582	ENSG00000174483	Q8NFJ9
BBS2	583	ENSG00000125124	Q9BXC9
BBS3			
BBS4	585	ENSG00000140463	Q96RK4
BBS5	129880	ENSG00000163093	Q8N3I7
BBS6			
BBS7	55212	ENSG00000138686	Q8IWZ6
BBS9	27241	ENSG00000122507	Q3SYG4
BBS10	79738	ENSG00000179941	Q8TAM1
BBS12	166379	ENSG00000181004	Q6ZW61
BBX	56987	ENSG00000114439	Q8WY36
BCAM	4059	ENSG00000187244	P50895
BCAN	63827	ENSG00000132692	Q96GW7
BCAP29	55973	ENSG00000075790	Q9UHQ4
BCAP31	10134	ENSG00000185825	P51572
BCAP31P1	100194425	ENSG00000261217	
BCAP31P2	100194426	ENSG00000260047	
BCAR1	9564	ENSG00000050820	P56945
BCAR1P1	100533717	ENSG00000258397	
BCAR1P2	100533718	ENSG00000258771	
BCAR2			
BCAR3	8412	ENSG00000137936	O75815
BCAR3-AS1	100129046	ENSG00000224093	
BCAR4	400500	ENSG00000262117	
BCAS1	8537	ENSG00000064787	O75363
BCAS2	10286	ENSG00000116752	O75934
BCAS2P1	100127960	ENSG00000255051	
BCAS2P2	100421045	ENSG00000234332	
BCAS2P3	100128339	ENSG00000226670	
BCAS3	54828	ENSG00000141376	Q9H6U6
BCAS4	55653	ENSG00000124243	Q8TDM0
BCAT1	586	ENSG00000060982	P54687
BCAT2	587	ENSG00000105552	O15382
BCCIP	56647	ENSG00000107949	Q9P287
BCD1			
BCDIN3D	144233	ENSG00000186666	Q7Z5W3
BCDIN3D-AS1	100286844	ENSG00000258057	
BCEI			
BCGF1			
BCH			
BCHE	590	ENSG00000114200	P06276
BCHEL1			
BCHEL3			
BCKDHA	593	ENSG00000248098	P12694
BCKDHB	594	ENSG00000083123	P21953
BCKDK	10295	ENSG00000103507	O14874
BCL1			
BCL2	596	ENSG00000171791	P10415
BCL2A1	597	ENSG00000140379	Q16548
BCL2L1	598	ENSG00000171552	Q07817
BCL2L1-AS1	105372589	ENSG00000236559	
BCL2L2	599	ENSG00000129473	Q92843
BCL2L2-PABPN1	100529063	ENSG00000258643	Q92843
BCL2L10	10017	ENSG00000137875	Q9HD36
BCL2L11	10018	ENSG00000153094	O43521
BCL2L12	83596	ENSG00000126453	Q9HB09
BCL2L12P1	100289095	ENSG00000248530	
BCL2L13	23786	ENSG00000099968	Q9BXK5
BCL2L14	79370	ENSG00000121380	Q9BZR8
BCL2L15	440603	ENSG00000188761	Q5TBC7
BCL3	602	ENSG00000069399	P20749
BCL4			
BCL5			
BCL6	604	ENSG00000113916	P41182
BCL6-AS1	106146153		
BCL6B	255877	ENSG00000161940	Q8N143
BCL7			
BCL7A	605	ENSG00000110987	Q4VC05
BCL7B	9275	ENSG00000106635	Q9BQE9
BCL7C	9274	ENSG00000099385	Q8WUZ0
BCL9	607	ENSG00000116128	O00512
BCL9L	283149	ENSG00000186174	Q86UU0
BCL9P1	100419324	ENSG00000249238	
BCL10	8915	ENSG00000142867	O95999
BCL11A	53335	ENSG00000119866	Q9H165
BCL11B	64919	ENSG00000127152	Q9C0K0
BCLAF1	9774	ENSG00000029363	Q9NYF8
BCLAF1P1	728366	ENSG00000248966	
BCLAF1P2	731605	ENSG00000279800	
BCLAF3	256643	ENSG00000173681	A2AJT9
BCMA			
BCMS			
BCMSUN			
BCNG1			
BCNG2			
BCO1	53630	ENSG00000135697	Q9HAY6
BCO2	83875	ENSG00000197580	Q9BYV7
BCOR	54880	ENSG00000183337	Q6W2J9
BCORL1	63035	ENSG00000085185	Q5H9F3
BCORP1	286554	ENSG00000215580	Q8N888
BCP			
BCPM			
BCR	613	ENSG00000186716	P11274
BCRL6			
BCRP1	644079	ENSG00000225098	
BCRP2	400892	ENSG00000169668	
BCRP3	644165	ENSG00000215481	
BCRP4	616	ENSG00000215456	
BCRP5	648980	ENSG00000235062	
BCRP6	728468	ENSG00000169662	
BCRP7	100133163	ENSG00000215544	
BCRP8	100133044	ENSG00000236794	
BCRP9	107126287	ENSG00000271287	
BCS1L	617	ENSG00000074582	Q9Y276
BCUR1			
BCYRN1	618	ENSG00000236824	
BCYRN1P1	619		
BCYRN1P2	620		
BCYRN1P3	654337		
BDB			
BDB1			
BDH1	622	ENSG00000161267	Q02338
BDH2	56898	ENSG00000164039	Q9BUT1
BDH2P1	389416	ENSG00000232699	
BDK			
BDKRB1	623	ENSG00000100739	P46663
BDKRB2	624	ENSG00000168398	P30411
BDM			
BDMR			
BDNF	627	ENSG00000176697	P23560
BDNF-AS	497258	ENSG00000245573	
BDP1	55814	ENSG00000145734	A6H8Y1
BDP1P	724038	ENSG00000264736	
BEAN1	146227	ENSG00000166546	Q3B7T3
BEAN1-AS1	101927726	ENSG00000261656	
BECN1	8678	ENSG00000126581	Q14457
BECN1P2	100420149	ENSG00000219669	
BECN2	441925	ENSG00000196289	A8MW95
BEGAIN	57596	ENSG00000183092	Q9BUH8
BEND2	139105	ENSG00000177324	Q8NDZ0
BEND3	57673	ENSG00000178409	Q5T5X7
BEND3P1	644459	ENSG00000231345	
BEND3P2	392368	ENSG00000224809	
BEND3P3	650623	ENSG00000278616	
BEND4	389206	ENSG00000188848	Q6ZU67
BEND5	79656	ENSG00000162373	Q7L4P6
BEND6	221336	ENSG00000151917	Q5SZJ8
BEND7	222389	ENSG00000165626	Q8N7W2
BEND7P1	100419793	ENSG00000230320	
BEST1	7439	ENSG00000167995	O76090
BEST2	54831	ENSG00000039987	Q8NFU1
BEST3	144453	ENSG00000127325	Q8N1M1
BEST4	266675	ENSG00000142959	Q8NFU0
BET1	10282	ENSG00000105829	O15155
BET1-AS1	105375403	ENSG00000236861	
BET1L	51272	ENSG00000177951	Q9NYM9
BET1P1	100128542	ENSG00000241134	
BEVI			
BEX1	55859	ENSG00000133169	Q9HBH7
BEX2	84707	ENSG00000133134	Q9BXY8
BEX3	27018	ENSG00000166681	Q00994
BEX4	56271	ENSG00000102409	Q9NWD9
BEX5	340542	ENSG00000184515	Q5H9J7
BFAR	51283	ENSG00000103429	Q9NZS9
BFD			
BFLS			
BFSP1	631	ENSG00000125864	Q12934
BFSP2	8419	ENSG00000170819	Q13515
BFSP2-AS1	85003	ENSG00000249993	
BFT			
BGLAP	632	ENSG00000242252	P02818
BGLT3	103344929	ENSG00000260629	
BGN	633	ENSG00000182492	P21810
BGP			
BHLHA9	727857	ENSG00000205899	Q7RTU4
BHLHA15	168620	ENSG00000180535	Q7RTS1
BHLHB1			
BHLHB9	80823	ENSG00000198908	Q6PI77
BHLHB9P1	100431177	ENSG00000258915	
BHLHE22	27319	ENSG00000180828	Q8NFJ8
BHLHE23	128408	ENSG00000125533	Q8NDY6
BHLHE40	8553	ENSG00000134107	O14503
BHLHE40-AS1	100507582	ENSG00000235831	
BHLHE41	79365	ENSG00000123095	Q9C0J9
BHMT	635	ENSG00000145692	Q93088
BHMT2	23743	ENSG00000132840	Q9H2M3
BICC1	80114	ENSG00000122870	Q9H694
BICD1	636	ENSG00000151746	Q96G01
BICD1P1	391472	ENSG00000224346	
BICD2	23299	ENSG00000185963	Q8TD16
BICDL1	92558	ENSG00000135127	Q6ZP65
BICDL2	146439	ENSG00000162069	A1A5D9
BICRA	29998	ENSG00000063169	Q9NZM4
BICRA-AS1	106144534	ENSG00000269806	
BICRAL	23506	ENSG00000112624	Q6AI39
BID	637	ENSG00000015475	P55957
BIK	638	ENSG00000100290	Q13323
BIN1	274	ENSG00000136717	O00499
BIN2	51411	ENSG00000110934	Q9UBW5
BIN2P1	345258	ENSG00000234568	
BIN2P2	644601	ENSG00000248684	
BIN3	55909	ENSG00000147439	Q9NQY0
BIN3-IT1	80094		
BIRC2	329	ENSG00000110330	Q13490
BIRC3	330	ENSG00000023445	Q13489
BIRC5	332	ENSG00000089685	O15392
BIRC6	57448	ENSG00000115760	Q9NR09
BIRC6-AS1	100874009	ENSG00000230046	
BIRC6-AS2	103752586	ENSG00000279897	
BIRC7	79444	ENSG00000101197	Q96CA5
BIRC8	112401	ENSG00000163098	Q96P09
BISPR	105221694	ENSG00000282851	
BIVM	54841	ENSG00000134897	Q86UB2
BIVM-ERCC5	100533467	ENSG00000270181	
BLACAT1	101669762	ENSG00000281406	
BLACE	338436	ENSG00000204960	A4D250
BLCAP	10904	ENSG00000166619	P62952
BLID	414899	ENSG00000259571	Q8IZY5
BLIMP1			
BLK	640	ENSG00000136573	P51451
BLM	641	ENSG00000197299	P54132
BLMH	642	ENSG00000108578	Q13867
BLNK	29760	ENSG00000095585	Q8WV28
BLOC1S1	2647	ENSG00000135441	P78537
BLOC1S2	282991	ENSG00000196072	Q6QNY1
BLOC1S2P1	100131924	ENSG00000236982	
BLOC1S3	388552	ENSG00000189114	Q6QNY0
BLOC1S4	55330	ENSG00000186222	Q9NUP1
BLOC1S5	63915	ENSG00000188428	Q8TDH9
BLOC1S5-TXNDC5	100526836	ENSG00000259040	
BLOC1S6	26258	ENSG00000104164	Q9UL45
BLOC1S6P1	100130035		
BLVR			
BLVRA	644	ENSG00000106605	P53004
BLVRB	645	ENSG00000090013	P30043
BLYM			
BLZF1	8548	ENSG00000117475	Q9H2G9
BLZF2P	317729	ENSG00000258565	
BMERB1	89927	ENSG00000166780	Q96MC5
BMF	90427	ENSG00000104081	Q96LC9
BMF-AS1	110806288	ENSG00000259409	
BMI1	648	ENSG00000168283	P35226
BMI1P1	100127902	ENSG00000234201	
BMIQ1			
BMIQ2			
BMIQ3			
BMIQ4			
BMIQ5			
BMIQ6			
BMNCR	107985249		
BMP1	649	ENSG00000168487	P13497
BMP2	650	ENSG00000125845	P12643
BMP2K	55589	ENSG00000138756	Q9NSY1
BMP2KL	347359	ENSG00000204113	Q5H9B9
BMP3	651	ENSG00000152785	P12645
BMP4	652	ENSG00000125378	P12644
BMP5	653	ENSG00000112175	P22003
BMP6	654	ENSG00000153162	P22004
BMP6P1	266700	ENSG00000236323	
BMP7	655	ENSG00000101144	P18075
BMP7-AS1	102723590	ENSG00000235032	
BMP8A	353500	ENSG00000183682	Q7Z5Y6
BMP8B	656	ENSG00000116985	P34820
BMP8B-AS1	105378666	ENSG00000285905	
BMP10	27302	ENSG00000163217	O95393
BMP15	9210	ENSG00000130385	O95972
BMPER	168667	ENSG00000164619	Q8N8U9
BMPR1A	657	ENSG00000107779	P36894
BMPR1AP1	100421515	ENSG00000219642	
BMPR1AP2	100533800	ENSG00000232460	
BMPR1B	658	ENSG00000138696	O00238
BMPR1B-DT	100507012	ENSG00000249599	
BMPR2	659	ENSG00000204217	Q13873
BMS1	9790	ENSG00000165733	Q14692
BMS1P1	399761	ENSG00000204177	
BMS1P2	642826	ENSG00000251079	
BMS1P3	414217	ENSG00000240089	
BMS1P4	729096	ENSG00000242338	
BMS1P5			
BMS1P6			
BMS1P7	100133265	ENSG00000270025	
BMS1P8	653557	ENSG00000260518	
BMS1P9	653458	ENSG00000198312	
BMS1P10	728611	ENSG00000237238	
BMS1P11	644632	ENSG00000225883	
BMS1P12	644684	ENSG00000224599	
BMS1P13	644716	ENSG00000231701	
BMS1P14	728034	ENSG00000276500	
BMS1P15	642311	ENSG00000258780	
BMS1P16	727914	ENSG00000258684	
BMS1P17	101101776	ENSG00000228294	
BMS1P18	414763		
BMS1P19	100131577	ENSG00000231099	
BMS1P20	96610		
BMS1P21	100288974	ENSG00000283101	
BMS1P22	106480334	ENSG00000232775	
BMS1P23			
BMT2	154743	ENSG00000164603	Q1RMZ1
BMX	660	ENSG00000102010	P51813
BNC1	646	ENSG00000169594	Q01954
BNC2	54796	ENSG00000173068	Q6ZN30
BNC2-AS1	111216284	ENSG00000234779	
BNIP1	662	ENSG00000113734	Q12981
BNIP2	663	ENSG00000140299	Q12982
BNIP3	664	ENSG00000176171	Q12983
BNIP3L	665	ENSG00000104765	O60238
BNIP3P1	319138	ENSG00000197358	
BNIP3P2	100421754	ENSG00000236097	
BNIP3P3	100421736	ENSG00000265631	
BNIP3P4	100289028	ENSG00000271225	
BNIP3P5	100421724	ENSG00000260571	
BNIP3P6	100129777	ENSG00000257356	
BNIP3P7	101927265	ENSG00000270496	
BNIP3P8	100421710	ENSG00000269431	
BNIP3P9	106480280	ENSG00000270325	
BNIP3P10	100421695	ENSG00000270270	
BNIP3P11	106480286	ENSG00000271550	
BNIP3P12	100421703		
BNIP3P13	101060192	ENSG00000269154	
BNIP3P14	100421696		
BNIP3P15	106481692	ENSG00000270716	
BNIP3P16	106480418	ENSG00000267641	
BNIP3P17	100421704	ENSG00000271524	
BNIP3P18	106481693	ENSG00000269055	
