id	subject	predicate	object	category	relation
uuid:abffc51c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000077264		
uuid:abffe916-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000077264		
uuid:ac000310-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000077264		
uuid:ac0023ae-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000077264		
uuid:ac004a82-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000071909		
uuid:ac008e20-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000071909		
uuid:ac00d70e-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000177189		
uuid:ac00fe3c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000177189		
uuid:ac0117e6-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000071242		
uuid:ac013082-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000071242		
uuid:ac01544a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000156970		
uuid:ac01808c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000156970		
uuid:ac01b20a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000151414		
uuid:ac01e630-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000151414		
uuid:ac0213bc-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000104375		
uuid:ac023a18-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000104375		
